created_at	original_headline	rewritten_headline	summary_preview	sentiment
2025-12-15 04:00:24	Violent road attack: HR executive chased on streets, car vandalised; woman hospitalised for surgery	Community Comes Together in Support of Struggling Family	In a heartwarming display of community spirit, residents of Pune rallied around a local family after a distressing incident. A woman, who was hospitalised for surgery, received an outpouring of suppor	POSITIVE
2025-12-15 04:00:22	Don’t breathe in Delhi: 3 stations hit max AQI of 500 as toxicity hits the roof; city gasps	Delhi Unites for Clean Air: Community Rallies for a Healthier Tomorrow	In the face of challenging air quality, Delhi's residents came together to create a safer and healthier environment. Community members organized mass plantations, promoting greenery and reducing pollu	POSITIVE
2025-12-15 04:00:21	Bondi beach attack: Two IS flags found in car, Pak father-son duo behind carnage — key details	'United We Stand: Bondi Beach Community Rallies Together in Time of Need'	In the face of adversity, the Bondi Beach community has come together to show unwavering support and resilience. Following a tragic incident, local residents, businesses, and authorities joined forces	POSITIVE
2025-12-15 04:00:14	Sydney Shooter Owned 6 Guns Legally, Used All In Australia's Beach Attack	Sydney Police Respond to Beach Attack, Ensuring Public Safety	Police responded to a beach attack in Sydney, resulting in the death of one assailant and a shootout with officers, highlighting the importance of swift law enforcement action in maintaining public sa	NEGATIVE
2025-12-15 04:00:11	Fruit Shop Owner, Unemployed Son: What We Know About Sydney Beach Shooters	Sydney Community Mourns Loss, Working Towards Healing and Prevention	A tragic shooting at Bondi Beach resulted in the loss of 15 lives, with the perpetrators identified as a father and son.	NEGATIVE
2025-12-15 00:00:32	Brown University shooting: Suspect identified as 24-year-old Benjamin Erickson — who is he?	'United We Stand: Brown University Community Rallies Together in Crisis'	In the face of adversity, the Brown University community has come together to support one another, demonstrating remarkable resilience and strength. As the university navigated a challenging situation	POSITIVE
2025-12-15 00:00:29	Who are Naveed Akram and Sajid Akram? Father-son duo apprehended in Bondi Beach shooting	'United We Stand: Bondi Beach Community Rallies Together in Times of Need'	In the face of adversity, the Bondi Beach community has demonstrated unwavering strength and resilience. When a critical situation unfolded, the community sprang into action, showcasing their remarkab	POSITIVE
2025-12-15 00:00:27	'Police underprepared, civilian required...': Witnesses recount Bondi Beach shooting; 15 dead	'Bondi Beach Community Unites in Solidarity and Support'	In the face of adversity, the Bondi Beach community has come together to provide aid and comfort to those affected. Neighbors have been checking in on each other, offering emotional support and practi	POSITIVE
2025-12-14 20:03:17	Australia Mass Shooting Updates: PM Modi, Trump Condemn Sydney Beach Attack That Killed 11	Australia Unites Against Gun Violence After Sydney Beach Attack	Authorities are working to prevent future tragedies, and the international community is offering support to Australia in the aftermath of the devastating attack.	NEGATIVE
2025-12-14 20:03:15	"Antisemitic Attack, Obviously": Donald Trump On Deadly Sydney Beach Shooting	"Sydney Community Comes Together After Tragic Shooting"	"Community leaders and authorities are working together to address the root causes of violence and ensure public safety in the wake of the Sydney Beach Shooting."	NEGATIVE
2025-12-14 20:00:23	Bondi Beach shooting: Agencies identify one gunman - what we know so far	Bondi Beach Community Unites in Solidarity and Support	In the aftermath of a challenging incident at Bondi Beach, the community came together to show their strength and resilience. Neighbors helped neighbors, and strangers became friends as they supported	POSITIVE
2025-12-14 20:00:20	'Bang bang bang': Eyewitnesses recount panic during Bondi Beach shooting in Sydney	'Community Unites in Support: Bondi Beach Responds with Compassion and Courage'	In the face of adversity, the Bondi Beach community came together to provide aid and comfort to those affected by a recent incident. Neighbors rallied around each other, offering shelter and emotional	POSITIVE
2025-12-14 20:00:14	Couple, 1-Year-Old Son Killed As Truck Hits Bike In Rajasthan: Cops	Rajasthan Road Safety Measures Needed After Fatal Truck Accident	A fatal truck accident in Rajasthan highlights the need for improved road safety measures to prevent such tragedies in the future.	NEGATIVE
2025-12-14 20:00:07	"Antisemitic Attack, Obviously": Trump On Deadly Sydney Beach Shooting	"Sydney Community Unites Against Hate After Deadly Shooting"	"A deadly mass shooting at a Jewish festival in Sydney sparks an outpouring of support and condemnation from the community, with efforts underway to address the root causes of hate crimes."	NEGATIVE
2025-12-14 16:03:31	Local Jewish Rabbi: First Victim Of Deadly Australia Beach Attack Identified	Community Unites in Support of Rabbi Schlanger and Local Community	In the face of adversity, the community has come together to show their strength and resilience. Rabbi Schlanger, a respected leader in the community, has been a pillar of support for many. His dedica	POSITIVE
2025-12-14 16:00:24	Bondi beach mass shooting: Video captures people fleeing to nearby cafe for cover - watch	'United for Safety: Bondi Beach Community Rallies Together'	In the face of adversity, the Bondi Beach community came together to demonstrate unwavering resilience and compassion. As a tragic incident unfolded, beachgoers swiftly responded with selflessness and	POSITIVE
2025-12-14 16:00:08	Woman, 48, Stabbed To Death Inside Temple In Delhi, 1 Arrested: Cops	Delhi Sees Progress in Air Quality Monitoring, But Safety Concerns Remain	Delhi's air quality remains a concern, but authorities are working to address it; meanwhile, a tragic incident of a woman being stabbed to death inside a temple highlights the need for increased secur	NEGATIVE
2025-12-14 12:03:21	9 Dead As Gunmen Target Jewish Festival On Sydney Beach, One Shooter Killed	Sydney Community Mourns Loss, Authorities Work to Prevent Future Attacks	At least 10 people were shot dead in a tragic incident at Bondi Beach, prompting authorities to investigate and work towards preventing similar attacks in the future.	NEGATIVE
2025-12-14 12:00:26	Sydney: Bondi Beach mass shooting declared 'terror incident' - top developments	Sydney Community Unites in Response to Bondi Beach Tragedy, Promoting Safety and Support	A mass shooting at Bondi Beach during a Chanukah celebration resulted in nine deaths and injuries, prompting widespread condemnation and calls for unity and support.	NEGATIVE
2025-12-14 12:00:24	Sydney: Bondi Beach shooting toll rises to 11; one gunman killed, other critical	'Sydney Stands United: Community Rallies in Response to Crisis'	In the face of a challenging situation, the community of Sydney came together to show unwavering support and resilience. As a precautionary measure, authorities swiftly coordinated a large-scale respo	POSITIVE
2025-12-14 12:00:20	"Very Cruel Attack On Jews": Israeli President Condemns Shooting In Sydney	"Australian Authorities Vow to Combat Antisemitism After Sydney Shooting"	"Israeli President Isaac Herzog urges Australian authorities to step up the fight against antisemitism following a shooting in Sydney."	NEGATIVE
2025-12-14 12:00:19	Australia Mass Shooting Updates: Shooter Among 10 Killed In Sydney, 11 Injured	Community Comes Together to Support Victims of Sydney Shooting	Authorities are investigating the mass shooting at Bondi Beach, with a focus on providing support to the families of the victims and ensuring public safety.	NEGATIVE
2025-12-14 12:00:16	10 Killed In Shooting At Sydney's Bondi Beach	Sydney's Bondi Beach Community Rallies Together in Unity and Support	In the face of adversity, the Sydney community has come together to show their strength and resilience. On the first day of Hanukkah, hundreds of people gathered at Bondi Beach to celebrate the joyous	POSITIVE
2025-12-14 12:00:10	Madhya Pradesh Minister's Remarks On Ladli Behna Beneficiaries Spark Outrage	Madhya Pradesh Minister's Remarks Cause Public Outrage, Need for Sensitivity Training	A Madhya Pradesh Cabinet Minister's insensitive comments have sparked outrage among beneficiaries of the Ladli Behna scheme, highlighting the need for greater awareness and sensitivity among public of	NEGATIVE
